9.930210908437203665e-01,6.978909156279687262e-03
9.762041264625285208e-01,2.379587353747147915e-02
9.494758354950492141e-01,5.052416450495067490e-02
9.680687762996545986e-01,3.193122370034541524e-02
9.804379622176734310e-01,1.956203778232653775e-02
9.900851651182883684e-01,9.914834881711680203e-03
9.681601405032009833e-01,3.183985949679897509e-02
9.960819117155252922e-01,3.918088284474721683e-03
9.569003619212623768e-01,4.309963807873767178e-02
9.744465856661153058e-01,2.555341433388470807e-02
9.599384625553984973e-01,4.006153744460154431e-02
9.813313300174145715e-01,1.866866998258543894e-02
9.742555741850387196e-01,2.574442581496132545e-02
8.846932593463924244e-01,1.153067406536076311e-01
6.520678047757679785e-01,3.479321952242320770e-01
2.909916865125045105e-01,7.090083134874954895e-01
8.183120051722496402e-02,9.181687994827750776e-01
2.811873215655911681e-02,9.718812678434408658e-01
1.501030420530310820e-02,9.849896957946968623e-01
1.687704923263384955e-03,9.983122950767365777e-01
2.982021885066410416e-02,9.701797811493358958e-01
4.948753911493160296e-02,9.505124608850683554e-01
3.285779524778299071e-02,9.671422047522170162e-01
2.224615925635153521e-02,9.777538407436484613e-01
1.248926945110845343e-02,9.875107305488916021e-01
3.038500917531350778e-02,9.696149908246864957e-01
3.942136143843771694e-03,9.960578638561562448e-01
4.050342488974997823e-02,9.594965751102501050e-01
2.687760238302060525e-02,9.731223976169793843e-01
4.666596650315388978e-02,9.533340334968460894e-01
