number.of.states,birth.rate,iteration,receiver.entropy,proportion,sender.convex,interaction,sender.converged,receiver.eu,sender.eu,sender.convexity,meta.step,receiver.converged,sender.entropy,impairment
30,0.05,0,0.87568164522887815,0.5,0,strong,False,4.7199823153968925,4.7199823153968925,1.5554400111704568e-09,1,False,0.70341086062770719,0.0
30,0.05,0,0.87568164522887815,0.5,0,strong,False,4.7199823153968925,4.7199823153968925,1.5554400111704568e-09,1,False,0.70341086062770719,0.05
30,0.05,1,0.9377106205929755,0.50048291715096449,0,strong,False,5.2640312914200331,5.2420866393190337,3.4461598251418396e-08,1,False,0.88263404464336159,0.0
30,0.05,1,0.96560614787185939,0.49951708284903557,0,strong,False,5.2319492612688681,5.2538939133698666,1.0087386889673898e-07,1,False,0.9404118787963095,0.05
30,0.05,2,0.94191496844644307,0.5026586637526872,0,strong,False,5.821254269418505,5.8059576782402242,2.7208192209816436e-07,1,False,0.84462162197075785,0.0
30,0.05,2,0.95577038514700674,0.49734133624731275,0,strong,False,5.7555661117099053,5.7708922793991189,3.5655998003822177e-07,1,False,0.87070430026012424,0.05
30,0.05,3,0.91039739142311338,0.5055278257795156,0,strong,False,6.6571868444048494,6.6358343956172572,7.1565275508738248e-07,1,False,0.73036328452758115,0.0
30,0.05,3,0.92337596437352565,0.49447217422048434,0,strong,False,6.559871373724464,6.5814521123302754,8.8662593886317928e-07,1,False,0.75339993504353509,0.05
30,0.05,4,0.86655172938353531,0.5084314583097661,0,strong,False,7.6521267363992287,7.6258350461878806,3.7984168977529469e-07,1,False,0.56507957532980257,0.0
30,0.05,4,0.88056942933327775,0.49156854169023395,0,strong,False,7.5373138621206177,7.5641933948457183,6.0689096118889321e-07,1,False,0.59385040659249211,0.05
30,0.05,5,0.82057019811707965,0.51106392150546676,0,strong,False,8.3918688810487865,8.3613562160929096,1.8882510227673133e-08,1,False,0.46498262551453018,0.0
30,0.05,5,0.83601559837126771,0.48893607849453319,0,strong,False,8.2730577384119535,8.304617119097891,4.3260303899264134e-08,1,False,0.4957328247586788,0.05
30,0.05,6,0.79042577831035132,0.51345072581842999,0,strong,False,8.8355396656991019,8.8035894496584177,2.0607864619460866e-09,1,False,0.4034937057442885,0.0
30,0.05,6,0.80653041445636442,0.48654927418157007,0,strong,False,8.7190145249364406,8.7524107160151914,3.9346196317833237e-09,1,False,0.43218097709250203,0.05
30,0.05,7,0.78108997880452824,0.51565647868319064,0,strong,False,9.093716358211136,9.0625850655921454,2.6196071491573296e-11,1,False,0.3265668089289433,0.0
30,0.05,7,0.79740503650952776,0.4843435213168093,0,strong,False,8.9819126682101604,9.0147652191008696,4.9154676816017485e-11,1,False,0.35189165484431451,0.05
