number.of.states,birth.rate,iteration,receiver.entropy,sender.proportion,sender.converged,receiver.eu,sender.eu,sender.convexity,meta.step,receiver.proportion,receiver.converged,sender.entropy,impairment
10,0.05,0,0.85057948133122396,1.0,False,1.6234709899929642,1.6234709899929642,0.025480408337655375,9,1.0,False,0.60605495410433341,0.0
10,0.05,1,0.80700984012328514,1.0,False,1.9300675857324054,1.9300675857324054,0.0075415382128087285,9,1.0,False,0.59382479140327438,0.0
10,0.05,2,0.68712778669329033,1.0,False,2.1985419723990263,2.1985419723990263,0.0029055582103238967,9,1.0,False,0.52670557192717238,0.0
10,0.05,3,0.56749282505979981,1.0,False,2.3953983963384866,2.3953983963384866,0.0014425043668109985,9,1.0,False,0.46109519116577152,0.0
10,0.05,4,0.48047430768181648,1.0,False,2.5423478541467208,2.5423478541467208,0.00038658713117057367,9,1.0,False,0.40394422955757509,0.0
10,0.05,5,0.41830663684189318,1.0,False,2.675903283413998,2.675903283413998,3.5917043331061824e-05,9,1.0,False,0.30835128990300864,0.0
10,0.05,6,0.37059859516862814,1.0,False,2.7643954521754668,2.7643954521754668,1.1774994416751578e-06,9,1.0,False,0.20589397505590112,0.0
10,0.05,7,0.33790039101162661,1.0,False,2.7970654884479105,2.7970654884479105,2.6865808220846922e-08,9,1.0,False,0.1786156529072859,0.0
10,0.05,8,0.31530804962666403,1.0,False,2.8124080769462481,2.8124080769462481,5.1502819269902192e-10,9,1.0,False,0.14309528451090187,0.0
10,0.05,9,0.35348248170680269,1.0,False,2.8231409358388047,2.8231409358388047,0.00027153512394640175,9,1.0,False,0.23570383472262577,0.0
10,0.05,10,0.30413072026299254,1.0,False,2.8158007546358297,2.8158007546358297,4.5694170201436171e-06,9,1.0,False,0.10588356232351906,0.0
10,0.05,11,0.28133828752957152,1.0,False,2.8337199344634838,2.8337199344634838,3.4766248180252226e-08,9,1.0,False,0.072730868405945587,0.0
10,0.05,12,0.26632729028962798,1.0,False,2.8431013049869507,2.8431013049869507,1.7528500495901098e-10,9,1.0,False,0.060759821322206406,0.0
10,0.05,13,0.25444226508812506,1.0,False,2.8504957045726598,2.8504957045726598,6.9174557065785777e-13,9,1.0,False,0.052887821163131926,0.0
10,0.05,14,0.24456034179650066,1.0,False,2.8571783841127791,2.8571783841127791,2.2201709409406068e-15,9,1.0,False,0.046167558274147862,0.0
10,0.05,15,0.23638478109077318,1.0,False,2.8634938720568339,2.8634938720568339,5.8084300803679594e-18,9,1.0,False,0.039921767488990879,0.0
10,0.05,16,0.22983485311587068,1.0,False,2.8695854058362635,2.8695854058362635,1.2332590528961297e-20,9,1.0,False,0.034054127145490783,0.0
10,0.05,17,0.224869304378982,1.0,False,2.8755613190617546,2.8755613190617546,2.117347167284445e-23,9,1.0,False,0.028608533929508968,0.0
10,0.05,18,0.31839987679157367,1.0,False,2.8815345138076371,2.8815345138076371,0.00010417607033806354,9,1.0,False,0.14511880463410567,0.0
