Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,6.086926305201327e-07,0.54109061955433946,0.99999984847656365,0.99999999999999989,1.0,0.8611111111111112,0.7520380655178186,0.75203856720625706,0.99999991435851032,6,1,1,results/strategies/20150729-104800-550671-speaker.csv,results/strategies/20150729-104800-550671-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.2536232421967682e-08,0.46642461716027833,1.5930793822095122e-39,0.99999999999999989,0.8333333333333334,0.6805555555555556,0.69314717187049102,0.69314717964580486,0.99999984964711242,8,0,1,results/strategies/20150729-104800-968688-speaker.csv,results/strategies/20150729-104800-968688-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.0029691524939158e-12,0.48865925488739309,4.0987151134859922e-26,0.99999999999999989,0.75,0.6944444444444444,0.75203869838189585,0.75203869838780202,0.99999983685695593,7,0,1,results/strategies/20150729-104801-385339-speaker.csv,results/strategies/20150729-104801-385339-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.0937440349331373e-10,0.5369078997472474,8.407039903582487e-20,1.0,0.9166666666666666,0.6805555555555556,0.75203869817044611,0.75203869830907655,0.99999981714082098,7,0,1,results/strategies/20150729-104801-800447-speaker.csv,results/strategies/20150729-104801-800447-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.7579843620186707e-10,0.39950703254317288,4.9869540769042188e-89,1.0000000000000002,0.6666666666666666,0.6666666666666666,0.69314718023014699,0.69314718055724955,0.99999977492928083,11,0,1,results/strategies/20150729-104802-224952-speaker.csv,results/strategies/20150729-104802-224952-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.9538483733816568e-11,0.37320813456141355,1.2044338007884458e-16,1.0,0.9166666666666666,0.7916666666666666,0.75203869835743042,0.752038698384772,0.99999988384543503,6,0,1,results/strategies/20150729-104802-636169-speaker.csv,results/strategies/20150729-104802-636169-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.2450277052578921e-11,0.35234648604565932,2.9264979830608642e-40,1.0,0.8333333333333334,0.6805555555555556,0.69314718053745239,0.69314718055070124,0.99999979738558353,8,0,1,results/strategies/20150729-104803-058129-speaker.csv,results/strategies/20150729-104803-058129-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.3038105735617219e-11,0.47296089594954471,8.6992724890294038e-37,1.0,0.75,0.7361111111111112,0.69314718053704516,0.69314718055823366,0.9999998715511913,8,0,1,results/strategies/20150729-104803-476167-speaker.csv,results/strategies/20150729-104803-476167-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.6528738668760987e-09,0.36133447245984646,1.1417061100965138e-22,0.99999999999999989,0.8333333333333334,0.6944444444444444,0.69314717802796588,0.69314717981480811,0.99999982550284483,6,0,1,results/strategies/20150729-104803-892018-speaker.csv,results/strategies/20150729-104803-892018-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.1776193067161531e-08,0.50099895061435529,3.0482719204771355e-28,1.0,0.7916666666666666,0.6805555555555556,0.75203868614418468,0.75203869545826152,0.99999980543759004,5,0,1,results/strategies/20150729-104804-293714-speaker.csv,results/strategies/20150729-104804-293714-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.3066573269691473e-11,0.37802504787945146,0.99999999999003963,1.0,0.9583333333333334,0.8333333333333334,0.98704051287986161,0.98704051299587214,0.99999987050198735,7,1,1,results/strategies/20150729-104804-705115-speaker.csv,results/strategies/20150729-104804-705115-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,9.9946818777796481e-09,0.42893203760373932,4.8113924835531208e-13,1.0000000000000002,0.9166666666666666,0.8472222222222222,0.75203869309075955,0.75203869711275684,0.99999989828711056,6,0,1,results/strategies/20150729-104805-117376-speaker.csv,results/strategies/20150729-104805-117376-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.6585493606193131e-07,0.3395477865692117,2.9264446328916356e-11,0.99999999999999989,0.8333333333333334,0.7777777777777778,0.693146926968635,0.69314710651824563,0.9999998902328554,7,0,1,results/strategies/20150729-104805-541109-speaker.csv,results/strategies/20150729-104805-541109-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.9162159132923989e-09,0.49028106303668717,2.0284302075156779e-52,0.99999999999999978,0.9166666666666666,0.6527777777777778,0.75203869639580767,0.75203869832285297,0.99999986110616113,12,0,1,results/strategies/20150729-104805-970524-speaker.csv,results/strategies/20150729-104805-970524-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,4.6150263046673516e-165,0.26802488346678094,0.0,1.0,0.8333333333333334,0.7083333333333334,0.75203869838813708,0.75203869838813708,0.97285341960325478,201,0,1,results/strategies/20150729-104807-019821-speaker.csv,results/strategies/20150729-104807-019821-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.128860016538744e-112,0.2386199501289426,1.0,0.99999999999999978,0.9166666666666666,0.9305555555555556,0.75203869838813708,0.75203869838813697,0.9909141121223044,186,1,1,results/strategies/20150729-104808-004635-speaker.csv,results/strategies/20150729-104808-004635-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.2627916636930711e-10,0.22753092973432659,2.0506627140302608e-11,0.99999999999999978,0.9166666666666666,0.8472222222222222,0.75203869825684233,0.7520386983855738,0.98028264397320941,201,0,1,results/strategies/20150729-104809-046186-speaker.csv,results/strategies/20150729-104809-046186-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,5.4534439559061463e-50,0.39930930675537146,1.0,0.99999999999999989,0.9166666666666666,0.8472222222222222,0.75203869838813708,0.75203869838813697,0.99066199335555205,201,1,1,results/strategies/20150729-104810-087146-speaker.csv,results/strategies/20150729-104810-087146-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.9512404219040905e-150,0.24268226309522736,0.0,1.0000000000000002,0.875,0.7222222222222222,0.75203869838813708,0.75203869838813708,0.9819919472237405,201,0,1,results/strategies/20150729-104811-128762-speaker.csv,results/strategies/20150729-104811-128762-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.9629778040396084e-57,0.2693084962499287,2.6942930718840617e-129,1.0000000000000002,0.8333333333333334,0.8194444444444444,0.69314718055994529,0.6931471805599454,0.99025280753578215,201,0,1,results/strategies/20150729-104812-172017-speaker.csv,results/strategies/20150729-104812-172017-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,6.0869687131316649e-127,0.057998924235385822,1.0,1.0,1.0,0.9027777777777778,0.69314718055994529,0.6931471805599454,0.99091498938167211,156,1,1,results/strategies/20150729-104813-064390-speaker.csv,results/strategies/20150729-104813-064390-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,0.00046514883908159666,0.40173505138203658,8.1925373308293985e-20,0.99999999999999989,0.75,0.6527777777777778,0.75155511688789833,0.75201324497825106,0.9734960828455127,14,0,1,results/strategies/20150729-104813-493419-speaker.csv,results/strategies/20150729-104813-493419-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,7.3357221358430611e-251,0.22290244056455391,0.0,1.0,0.9166666666666666,0.8333333333333334,0.69314718055994529,0.6931471805599454,0.99054102703498759,201,0,1,results/strategies/20150729-104814-543998-speaker.csv,results/strategies/20150729-104814-543998-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.4332800400393375e-194,0.069153148868386291,1.0,1.0,1.0,0.875,0.75203869838813708,0.75203869838813708,0.99091581579836174,190,1,1,results/strategies/20150729-104815-549085-speaker.csv,results/strategies/20150729-104815-549085-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,6.3657959241589888e-267,0.11033355275365846,1.0,1.0,1.0,0.8888888888888888,0.69314718055994529,0.69314718055994551,0.999241639280812,201,1,1,results/strategies/20150729-104816-597804-speaker.csv,results/strategies/20150729-104816-597804-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,4.4168410551674221e-83,0.045677357059017883,0.0,1.0,0.8333333333333334,0.7361111111111112,0.98704051301100493,0.98704051301100482,0.98208173821716371,189,0,1,results/strategies/20150729-104817-603120-speaker.csv,results/strategies/20150729-104817-603120-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,8.6257704744737587e-194,0.34064729668285315,1.0,1.0,1.0,0.8888888888888888,0.69314718055994529,0.69314718055994551,0.99568125866810908,201,1,1,results/strategies/20150729-104818-649354-speaker.csv,results/strategies/20150729-104818-649354-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.8540644454166259e-59,0.080824040548596945,1.0,0.99999999999999989,0.8333333333333334,0.8194444444444444,0.98704051301100493,0.98704051301100482,0.98208180639624398,151,1,1,results/strategies/20150729-104819-542297-speaker.csv,results/strategies/20150729-104819-542297-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,8.2441144694617494e-54,0.28172392739807495,2.7289704086425302e-55,1.0,0.9166666666666666,0.8611111111111112,0.75203869838813708,0.75203869838813731,0.98140922880877524,201,0,1,results/strategies/20150729-104820-608017-speaker.csv,results/strategies/20150729-104820-608017-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,3.3814423327817342e-252,0.12714724691266907,1.0,1.0,1.0,0.8888888888888888,0.69314718055994529,0.6931471805599454,0.99883216321681878,201,1,1,results/strategies/20150729-104822-018589-speaker.csv,results/strategies/20150729-104822-018589-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,3.2272638386237113e-29,0.36089743872326208,1.8793887392040214e-155,1.0000000000000002,0.75,0.8055555555555556,0.75203869838813708,0.75203869838813708,0.97325091708152878,168,0,1,results/strategies/20150729-104823-036909-speaker.csv,results/strategies/20150729-104823-036909-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.4158791772743991e-145,0.46225445763430378,2.9779767727713403e-147,0.99999999999999989,0.9166666666666666,0.8333333333333334,0.69314718055994529,0.6931471805599454,0.98114124914597289,201,0,1,results/strategies/20150729-104824-202931-speaker.csv,results/strategies/20150729-104824-202931-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,5.4460135304983083e-133,0.4158694901396639,7.3332854761452879e-135,1.0,0.8333333333333334,0.8194444444444444,0.69314718055994529,0.69314718055994529,0.98166731582845879,201,0,1,results/strategies/20150729-104825-321023-speaker.csv,results/strategies/20150729-104825-321023-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.5894991012349115e-192,0.1758825230281934,2.875538872236495e-237,1.0,0.9166666666666666,0.8472222222222222,0.75203869838813708,0.75203869838813708,0.98989770848402758,201,0,1,results/strategies/20150729-104826-394577-speaker.csv,results/strategies/20150729-104826-394577-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,0.00014233417100154727,0.44346633246618161,8.6224847395210963e-15,0.99999999999999978,0.8333333333333334,0.6944444444444444,0.75189071422345499,0.75203185455998534,0.97349693708530183,9,0,1,results/strategies/20150729-104826-900995-speaker.csv,results/strategies/20150729-104826-900995-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,7.0831319186482725e-68,0.3975895829198603,1.497859397128722e-205,0.99999999999999989,0.8333333333333334,0.7361111111111112,0.69314718055994529,0.6931471805599454,0.97325000843797527,94,0,1,results/strategies/20150729-104827-620058-speaker.csv,results/strategies/20150729-104827-620058-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,3.9378442683079204e-86,0.20231716417179774,0.0,1.0,0.7916666666666666,0.7361111111111112,0.69314718055994529,0.6931471805599454,0.98556537033254954,201,0,1,results/strategies/20150729-104828-729796-speaker.csv,results/strategies/20150729-104828-729796-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,7.8304050298559762e-209,0.47747391160222413,0.0,1.0,0.8333333333333334,0.6805555555555556,0.75203869838813708,0.75203869838813708,0.97207153167453531,201,0,1,results/strategies/20150729-104829-897531-speaker.csv,results/strategies/20150729-104829-897531-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.2177667136995373e-238,0.25266855391478965,0.0,1.0,0.8333333333333334,0.7777777777777778,0.69314718055994529,0.6931471805599454,0.98801492415498859,201,0,1,results/strategies/20150729-104831-020598-speaker.csv,results/strategies/20150729-104831-020598-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,5.4633208332776838e-236,0.37128067326886022,1.0,1.0,0.9166666666666666,0.8472222222222222,0.75203869838813708,0.75203869838813708,0.98982446798883506,201,1,1,results/strategies/20150729-104832-058758-speaker.csv,results/strategies/20150729-104832-058758-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,4.7850798917034177e-177,0.49774404262490357,1.0,1.0,0.9166666666666666,0.875,0.69314718055994529,0.6931471805599454,0.98871118854092022,201,1,1,results/strategies/20150729-104833-110769-speaker.csv,results/strategies/20150729-104833-110769-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.53592285226276e-267,0.32649262994855616,0.0,1.0000000000000002,0.8333333333333334,0.8055555555555556,0.69314718055994529,0.6931471805599454,0.990000590678632,201,0,1,results/strategies/20150729-104834-172852-speaker.csv,results/strategies/20150729-104834-172852-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.6229560162549919e-78,0.14683361404595854,3.6903467503525348e-80,1.0000000000000002,0.9166666666666666,0.8611111111111112,0.75203869838813708,0.75203869838813708,0.9809199208436884,201,0,1,results/strategies/20150729-104835-214546-speaker.csv,results/strategies/20150729-104835-214546-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.7623553288397522e-171,0.44306130212066547,0.0,0.99999999999999989,0.7916666666666666,0.7361111111111112,0.69314718055994529,0.6931471805599454,0.9732528233483535,170,0,1,results/strategies/20150729-104836-164921-speaker.csv,results/strategies/20150729-104836-164921-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.5907782452519695e-55,0.37915519610014831,1.0,0.99999999999999989,0.9166666666666666,0.9444444444444444,0.75203869838813708,0.75203869838813708,0.99091384518856773,98,1,1,results/strategies/20150729-104836-869180-speaker.csv,results/strategies/20150729-104836-869180-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,8.5935494971764919e-227,0.36709411753846044,6.8026819171254373e-229,1.0,0.8333333333333334,0.8333333333333334,0.69314718055994529,0.6931471805599454,0.98946994584679404,201,0,1,results/strategies/20150729-104837-912966-speaker.csv,results/strategies/20150729-104837-912966-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.2783390257793762e-92,0.092120612116695644,1.0,0.99999999999999989,0.9166666666666666,0.8333333333333334,0.75203869838813708,0.75203869838813719,0.99069959951226039,201,1,1,results/strategies/20150729-104838-944746-speaker.csv,results/strategies/20150729-104838-944746-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,2.5720235295211632e-14,0.30603324133890097,3.1091331114881466e-15,1.0,0.8333333333333334,0.8333333333333334,0.69314718055992763,0.6931471805599454,0.9899103279581033,201,0,1,results/strategies/20150729-104839-983736-speaker.csv,results/strategies/20150729-104839-983736-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,1.4411973552326346e-138,0.27422227162370477,1.8629252431467441e-140,1.0000000000000002,0.9166666666666666,0.8333333333333334,0.69314718055994529,0.6931471805599454,0.98919770069043633,201,0,1,results/strategies/20150729-104841-026973-speaker.csv,results/strategies/20150729-104841-026973-hearer.csv
6,uniform,2,0.0,0.1,replicator dynamics,6.5309793242686666e-249,0.19514129197618404,1.0,1.0,1.0,0.8333333333333334,0.75203869838813708,0.75203869838813708,0.99037419301035645,201,1,1,results/strategies/20150729-104842-065936-speaker.csv,results/strategies/20150729-104842-065936-hearer.csv
