Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker Voronoiness,Hearer Voronoiness,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,3.4960008891944001e-13,0.31664051316574665,0.875,0.795,0.98622200374576985,25
10,uniform,2,0.0,0.1,replicator dynamics,8.9112913175654524e-16,0.26631601237480179,0.875,0.795,0.99124207327549829,30
10,uniform,2,0.0,0.1,replicator dynamics,1.2557942852073442e-17,0.24211319011630078,0.875,0.795,0.99316665185879072,35
10,uniform,2,0.0,0.1,replicator dynamics,3.4642952777866891e-18,0.23104108484416624,0.875,0.795,0.99388930791601759,40
10,uniform,2,0.0,0.1,replicator dynamics,4.9448883895699582e-17,0.22595974962600227,0.875,0.805,0.99416284847170633,45
10,uniform,2,0.0,0.1,replicator dynamics,6.3926284838634821e-14,0.22347046965847725,0.875,0.805,0.994270961901911,50
10,uniform,2,0.0,0.1,replicator dynamics,8.0690947961649456e-09,0.22206062107802249,0.875,0.805,0.99431846245313193,55
10,uniform,2,0.0,0.1,replicator dynamics,0.037452709211723244,0.2210887528206637,0.875,0.805,0.99437058597481132,60
10,uniform,2,0.0,0.1,replicator dynamics,5.0380586693069721e-13,0.22087847970117908,0.925,0.815,0.99473589265628504,65
10,uniform,2,0.0,0.1,replicator dynamics,1.5983753379901975e-34,0.22076423664473274,0.925,0.815,0.9947482472919188,70
10,uniform,2,0.0,0.1,replicator dynamics,3.2420260218487327e-61,0.22064305550824351,0.925,0.815,0.99475989589111025,75
10,uniform,2,0.0,0.1,replicator dynamics,9.6735173098932443e-65,0.22050475676071202,0.925,0.815,0.9947712482441019,80
10,uniform,2,0.0,0.1,replicator dynamics,5.3495477236787093e-44,0.22034577571811534,0.925,0.815,0.99478243851345027,85
10,uniform,2,0.0,0.1,replicator dynamics,1.7888981989466997e-18,0.22016496397308066,0.925,0.815,0.99479351363524704,90
10,uniform,2,0.0,0.1,replicator dynamics,2.2433322621828126e-18,0.21996298074538947,0.975,0.815,0.99480534067836124,95
10,uniform,2,0.0,0.1,replicator dynamics,0.70706255612081659,0.84263837785171336,0.825,0.735,0.58788126401018093,0
10,uniform,2,0.0,0.1,replicator dynamics,0.096866133235635504,0.4617941186694659,0.875,0.775,0.93120594585986349,5
10,uniform,2,0.0,0.1,replicator dynamics,0.022945276042570791,0.30380694192290075,0.925,0.795,0.97559605462649801,10
10,uniform,2,0.0,0.1,replicator dynamics,0.049194239266910723,0.22518016486499745,0.925,0.805,0.98824353477016336,15
10,uniform,2,0.0,0.1,replicator dynamics,0.00040792891967955528,0.18680491646062489,0.875,0.805,0.99251794498145229,20
10,uniform,2,0.0,0.1,replicator dynamics,1.0072680149189864e-06,0.16790788890382183,0.875,0.815,0.99406747655010164,25
10,uniform,2,0.0,0.1,replicator dynamics,0.04506594817654834,0.15848868069575006,0.875,0.815,0.99467870551021464,30
10,uniform,2,0.0,0.1,replicator dynamics,4.4010227565060782e-12,0.15425745897688947,0.925,0.835,0.99519347962225979,35
10,uniform,2,0.0,0.1,replicator dynamics,3.0983556637500259e-07,0.15210573835863267,0.975,0.835,0.99527482684938484,40
10,uniform,2,0.0,0.1,replicator dynamics,3.3694989500637313e-35,0.15078206899620458,0.975,0.905,0.99530693733857845,45
10,uniform,2,0.0,0.1,replicator dynamics,2.731988914426816e-38,0.14980840910682239,0.975,0.935,0.99532117927049546,50
10,uniform,2,0.0,0.1,replicator dynamics,2.3948665701431947e-41,0.14898245764561821,0.975,0.955,0.99532881708155529,55
10,uniform,2,0.0,0.1,replicator dynamics,2.2673576997460258e-44,0.148220010809405,0.975,0.96,0.99533398548361551,60
10,uniform,2,0.0,0.1,replicator dynamics,2.3183732033187084e-47,0.14748654784190168,0.975,0.935,0.99533820275278106,65
10,uniform,2,0.0,0.1,replicator dynamics,2.5608110678434767e-50,0.14676810527354697,0.975,0.915,0.99534202698157459,70
10,uniform,2,0.0,0.1,replicator dynamics,3.056463476745347e-53,0.14605911640480568,0.975,0.915,0.99534566380278089,75
10,uniform,2,0.0,0.1,replicator dynamics,3.9427836540800309e-56,0.14535740787792273,0.975,0.915,0.99534918942440054,80
10,uniform,2,0.0,0.1,replicator dynamics,5.4978707436202502e-59,0.14466216449139674,0.975,0.915,0.99535263250943862,85
10,uniform,2,0.0,0.1,replicator dynamics,8.2876642326970978e-62,0.14397310900347285,0.975,0.915,0.99535600424591375,90
10,uniform,2,0.0,0.1,replicator dynamics,1.3506092059286828e-64,0.1432901741253011,0.975,0.915,0.99535930939387063,95
10,uniform,2,0.0,0.1,replicator dynamics,0.73571922503424869,0.66470410157565729,0.95,0.85,0.67901779583329336,0
10,uniform,2,0.0,0.1,replicator dynamics,0.00020182059626549942,0.53509909828901614,0.95,0.96,0.9432994857470568,5
10,uniform,2,0.0,0.1,replicator dynamics,9.7895112573738085e-08,0.50440379098039101,0.95,0.95,0.96876651298424876,10
10,uniform,2,0.0,0.1,replicator dynamics,1.3324928179623182e-11,0.45283391381692867,0.95,0.96,0.9847426810440324,15
10,uniform,2,0.0,0.1,replicator dynamics,3.0807210471398454e-16,0.41096502562412879,0.95,0.96,0.99232782457511537,20
10,uniform,2,0.0,0.1,replicator dynamics,2.0733435658967412e-21,0.38634606148896822,0.95,0.96,0.99541305303363814,25
10,uniform,2,0.0,0.1,replicator dynamics,7.3437529958273253e-27,0.37380497010569791,0.95,0.955,0.99658854302211508,30
10,uniform,2,0.0,0.1,replicator dynamics,2.035731738882886e-32,0.36770496650559981,0.95,0.955,0.99702798250552715,35
10,uniform,2,0.0,0.1,replicator dynamics,5.3175348571865997e-38,0.36465153214631907,0.95,0.945,0.99719397764045759,40
10,uniform,2,0.0,0.1,replicator dynamics,1.4140749706596361e-43,0.36294967079441554,0.95,0.945,0.99725972673623786,45
10,uniform,2,0.0,0.1,replicator dynamics,3.9514276491945572e-49,0.36182287413620323,0.95,0.945,0.99728886503779124,50
10,uniform,2,0.0,0.1,replicator dynamics,1.1761000030245939e-54,0.36093212774245931,0.95,0.945,0.99730461297864892,55
10,uniform,2,0.0,0.1,replicator dynamics,3.7525243178367392e-60,0.36013398939553198,0.95,0.945,0.99731542262360029,60
10,uniform,2,0.0,0.1,replicator dynamics,1.2879401599157313e-65,0.35936919262284522,0.95,0.94,0.99732436778249722,65
10,uniform,2,0.0,0.1,replicator dynamics,4.7654147487021875e-71,0.35861379066009397,0.95,0.925,0.99733256608047505,70
10,uniform,2,0.0,0.1,replicator dynamics,1.9037123621407293e-76,0.35785838412860876,0.95,0.925,0.99734042397046097,75
10,uniform,2,0.0,0.1,replicator dynamics,8.2206407276667291e-82,0.35709947922156854,0.95,0.925,0.99734808941623287,80
10,uniform,2,0.0,0.1,replicator dynamics,3.8408238651598417e-87,0.35633595037376259,0.95,0.925,0.99735561645087023,85
10,uniform,2,0.0,0.1,replicator dynamics,1.9431241616924352e-92,0.35556761049905938,0.95,0.925,0.99736302499184826,90
10,uniform,2,0.0,0.1,replicator dynamics,1.0651897380050835e-97,0.35479463888325946,0.95,0.925,0.99737032258209568,95
10,uniform,2,0.0,0.1,replicator dynamics,0.76506552470284084,0.77140124784206632,0.85,0.64,0.53363432075323614,0
10,uniform,2,0.0,0.1,replicator dynamics,0.14410484865472245,0.53308343477075293,0.9,0.845,0.87981067648328859,5
10,uniform,2,0.0,0.1,replicator dynamics,0.070306559618816641,0.49310733328542922,0.85,0.905,0.94325484613461807,10
10,uniform,2,0.0,0.1,replicator dynamics,0.044001314542442868,0.43425159434234434,0.95,0.94,0.98139111154593728,15
10,uniform,2,0.0,0.1,replicator dynamics,3.5134303558192213e-05,0.40039573394806666,0.95,0.95,0.99171854228784417,20
10,uniform,2,0.0,0.1,replicator dynamics,1.2546285396239082e-10,0.38032183440941597,0.95,0.95,0.99479221856886513,25
10,uniform,2,0.0,0.1,replicator dynamics,2.4781799600831003e-18,0.37044343294563542,0.95,0.935,0.99595759924965721,30
10,uniform,2,0.0,0.1,replicator dynamics,3.059809756309275e-28,0.36623909904506013,0.95,0.945,0.99639212730243276,35
10,uniform,2,0.0,0.1,replicator dynamics,3.3183386077843871e-39,0.36475671585426234,0.95,0.945,0.99655752149529775,40
10,uniform,2,0.0,0.1,replicator dynamics,5.4503118672941583e-40,0.36447943169895253,0.95,0.935,0.99662524338140157,45
10,uniform,2,0.0,0.1,replicator dynamics,1.4412388350480082e-40,0.36470405879627021,0.95,0.935,0.99665770504531748,50
10,uniform,2,0.0,0.1,replicator dynamics,4.3536685080316464e-41,0.36512213142458294,0.95,0.935,0.99667745845401678,55
10,uniform,2,0.0,0.1,replicator dynamics,1.3573300845433656e-41,0.36560289262962264,0.95,0.935,0.99669262927504998,60
10,uniform,2,0.0,0.1,replicator dynamics,4.2069869717810777e-42,0.36609219688093281,0.95,0.935,0.996706140894417,65
10,uniform,2,0.0,0.1,replicator dynamics,1.2790177709706522e-42,0.36656800125486766,0.95,0.92,0.99671904329867544,70
10,uniform,2,0.0,0.1,replicator dynamics,3.7962564623386466e-43,0.36702144918931995,0.95,0.915,0.99673171223905854,75
10,uniform,2,0.0,0.1,replicator dynamics,1.0983141670444787e-43,0.3674490245360062,0.95,0.915,0.99674428088893674,80
10,uniform,2,0.0,0.1,replicator dynamics,3.0959827594684651e-44,0.36784935527355761,0.95,0.915,0.99675679517336679,85
10,uniform,2,0.0,0.1,replicator dynamics,8.5027003105624347e-45,0.36822192934625275,0.95,0.915,0.99676926965353463,90
10,uniform,2,0.0,0.1,replicator dynamics,2.2753667827600061e-45,0.36856658436999606,0.95,0.915,0.99678170763100893,95
10,uniform,2,0.0,0.1,replicator dynamics,0.84261723435588654,0.88231909993372337,0.8,0.63,0.53666294505256762,0
10,uniform,2,0.0,0.1,replicator dynamics,0.08189000827127485,0.57883781597955186,0.9,0.755,0.92023842796182909,5
10,uniform,2,0.0,0.1,replicator dynamics,0.0012447626529470213,0.49533982207632704,0.9,0.755,0.95446155204334726,10
10,uniform,2,0.0,0.1,replicator dynamics,8.8383280792239782e-07,0.39094013960779445,0.9,0.755,0.97478496724132135,15
10,uniform,2,0.0,0.1,replicator dynamics,4.2638744125603627e-11,0.30687345849377384,0.9,0.755,0.98606901068970665,20
10,uniform,2,0.0,0.1,replicator dynamics,2.2793987141722814e-16,0.25786911633110216,0.9,0.755,0.99105413853359814,25
10,uniform,2,0.0,0.1,replicator dynamics,3.4532775116700687e-22,0.23370285492371923,0.9,0.755,0.99302669172880509,30
10,uniform,2,0.0,0.1,replicator dynamics,2.8027733079484622e-28,0.22267184661612055,0.9,0.755,0.9937766727236107,35
10,uniform,2,0.0,0.1,replicator dynamics,5.6195986487312717e-31,0.21776161054682494,0.9,0.755,0.99406171490477513,40
10,uniform,2,0.0,0.1,replicator dynamics,1.818010208658302e-28,0.21552619038962564,0.9,0.755,0.9941742257774635,45
10,uniform,2,0.0,0.1,replicator dynamics,7.8935200981757507e-24,0.21441133592282222,0.9,0.755,0.99422329722207625,50
10,uniform,2,0.0,0.1,replicator dynamics,4.4188278000942309e-17,0.21374619215253474,0.85,0.795,0.99424912912532903,55
10,uniform,2,0.0,0.1,replicator dynamics,2.6191235348311067e-08,0.21324874196497962,0.85,0.795,0.99426646859119661,60
10,uniform,2,0.0,0.1,replicator dynamics,0.00042270127562579009,0.21304790223975364,0.9,0.805,0.99455894634521824,65
10,uniform,2,0.0,0.1,replicator dynamics,2.0146309540151825e-20,0.21327843471756361,0.9,0.835,0.99457216860617159,70
10,uniform,2,0.0,0.1,replicator dynamics,3.2655589629733186e-42,0.21349411697620818,0.9,0.835,0.99458460477428889,75
10,uniform,2,0.0,0.1,replicator dynamics,4.1687835943578173e-69,0.21368539102782305,0.9,0.835,0.99459688253625644,80
10,uniform,2,0.0,0.1,replicator dynamics,2.8668468639903947e-90,0.21385035712056227,0.9,0.835,0.99460908065304132,85
10,uniform,2,0.0,0.1,replicator dynamics,2.3126779351641223e-96,0.21398857589009085,0.9,0.835,0.99462121613550947,90
10,uniform,2,0.0,0.1,replicator dynamics,8.0356131768399667e-78,0.2141000263970414,0.9,0.835,0.99463329256418431,95
10,uniform,2,0.0,0.1,replicator dynamics,0.54287054093418485,0.77242004553367716,0.775,0.54,0.67602239901539818,0
10,uniform,2,0.0,0.1,replicator dynamics,0.023358155479020995,0.48298607555223505,0.9,0.76,0.91762536092021507,5
10,uniform,2,0.0,0.1,replicator dynamics,1.2517078083779536e-07,0.39914872827271408,0.85,0.77,0.96177224660741167,10
10,uniform,2,0.0,0.1,replicator dynamics,1.0381374105414255e-12,0.32662542094040276,0.85,0.79,0.97896150866532694,15
10,uniform,2,0.0,0.1,replicator dynamics,3.1379557030695749e-19,0.27350611346519088,0.85,0.79,0.98721382816695669,20
10,uniform,2,0.0,0.1,replicator dynamics,6.038865855799433e-27,0.24353261065988951,0.85,0.79,0.9906085495440542,25
10,uniform,2,0.0,0.1,replicator dynamics,1.0459389301754398e-33,0.22867677492125679,0.85,0.79,0.9919150692710732,30
10,uniform,2,0.0,0.1,replicator dynamics,2.8476296480744002e-40,0.22168750974745169,0.85,0.79,0.9924080392629171,35
10,uniform,2,0.0,0.1,replicator dynamics,4.7147333183669245e-46,0.21837953461079279,0.85,0.79,0.99259588295992329,40
10,uniform,2,0.0,0.1,replicator dynamics,4.2576545994782311e-51,0.21669626109178175,0.85,0.79,0.99267087017238231,45
10,uniform,2,0.0,0.1,replicator dynamics,4.6505538469620246e-56,0.21570152750049065,0.85,0.79,0.99270429323151466,50
10,uniform,2,0.0,0.1,replicator dynamics,5.515789404296325e-61,0.2149872721820415,0.85,0.79,0.99272239531133832,55
10,uniform,2,0.0,0.1,replicator dynamics,7.0871182221897275e-66,0.21438062722755671,0.85,0.79,0.99273481049383905,60
10,uniform,2,0.0,0.1,replicator dynamics,9.87214062438786e-71,0.2138099414637846,0.85,0.79,0.9927450717664742,65
10,uniform,2,0.0,0.1,replicator dynamics,1.4923562805026196e-75,0.21324612251055614,0.85,0.785,0.99275447409475004,70
10,uniform,2,0.0,0.1,replicator dynamics,2.4507313634425876e-80,0.21267767015918307,0.85,0.785,0.99276349195781288,75
10,uniform,2,0.0,0.1,replicator dynamics,4.3761870103070981e-85,0.21210026027165158,0.85,0.785,0.99277229913005849,80
10,uniform,2,0.0,0.1,replicator dynamics,8.5046234552877507e-90,0.21151246415136452,0.85,0.785,0.9927809592162834,85
10,uniform,2,0.0,0.1,replicator dynamics,1.8002170781181312e-94,0.21091400999592141,0.85,0.785,0.99278949548479611,90
10,uniform,2,0.0,0.1,replicator dynamics,4.1536542089717271e-99,0.21030508342468862,0.85,0.795,0.99279791645907034,95
10,uniform,2,0.0,0.1,replicator dynamics,0.55041797534858083,0.58341739889311306,0.95,0.875,0.7422837119266662,0
10,uniform,2,0.0,0.1,replicator dynamics,9.0475021408898543e-05,0.35448183084623919,1.0,0.945,0.97994014539026786,5
10,uniform,2,0.0,0.1,replicator dynamics,2.7625927394897988e-08,0.29534307478156718,1.0,0.945,0.98957682975286998,10
10,uniform,2,0.0,0.1,replicator dynamics,4.9891567602791552e-12,0.26274280795700977,1.0,0.945,0.99352082549512644,15
10,uniform,2,0.0,0.1,replicator dynamics,6.9421584212166697e-16,0.24762472198041768,1.0,0.945,0.99502661551186677,20
10,uniform,2,0.0,0.1,replicator dynamics,8.3414087533666884e-20,0.24158553243055156,1.0,0.945,0.99558817459396443,25
10,uniform,2,0.0,0.1,replicator dynamics,9.4668563439176653e-24,0.23977849558192899,1.0,0.94,0.99579834072657503,30
10,uniform,2,0.0,0.1,replicator dynamics,1.0162470314349182e-27,0.23983680811178895,1.0,0.94,0.99587970493094979,35
10,uniform,2,0.0,0.1,replicator dynamics,1.0441752192292883e-31,0.24069099416271347,1.0,0.93,0.99591415762650892,40
10,uniform,2,0.0,0.1,replicator dynamics,1.0333311984438436e-35,0.24187813116957857,1.0,0.93,0.99593160245012546,45
10,uniform,2,0.0,0.1,replicator dynamics,9.8846478100511265e-40,0.24320315122666408,1.0,0.93,0.99594292964443787,50
10,uniform,2,0.0,0.1,replicator dynamics,9.1602865907585383e-44,0.24458528425427742,1.0,0.93,0.99595210134545908,55
10,uniform,2,0.0,0.1,replicator dynamics,8.2359959278531323e-48,0.24599141436392757,1.0,0.93,0.99596055862581334,60
10,uniform,2,0.0,0.1,replicator dynamics,7.1912611362948239e-52,0.24740795750496494,1.0,0.925,0.99596882560752609,65
10,uniform,2,0.0,0.1,replicator dynamics,6.1017976830126542e-56,0.24882922786867184,1.0,0.91,0.99597709294451209,70
10,uniform,2,0.0,0.1,replicator dynamics,5.0333468213914664e-60,0.25025269692105656,1.0,0.91,0.99598543000535045,75
10,uniform,2,0.0,0.1,replicator dynamics,4.0374910430470349e-64,0.25167708404174083,1.0,0.91,0.99599386202523699,80
10,uniform,2,0.0,0.1,replicator dynamics,3.1497480131653842e-68,0.25310159494382739,1.0,0.91,0.99600239815754033,85
10,uniform,2,0.0,0.1,replicator dynamics,2.3897930114714794e-72,0.25452562039319515,1.0,0.91,0.99601104167224397,90
10,uniform,2,0.0,0.1,replicator dynamics,1.7633619893335787e-76,0.25594861791878487,1.0,0.91,0.99601979366310223,95
10,uniform,2,0.0,0.1,replicator dynamics,0.74491238263392068,0.77577207664994252,0.75,0.62,0.52606495044129631,0
10,uniform,2,0.0,0.1,replicator dynamics,0.18357530935659025,0.41543438821592549,0.9,0.7,0.91107411868415145,5
10,uniform,2,0.0,0.1,replicator dynamics,0.012014868598844338,0.28673330556735305,1.0,0.81,0.98626024077572638,10
10,uniform,2,0.0,0.1,replicator dynamics,8.7064973892743354e-10,0.25456392102780806,1.0,0.89,0.99245375996795637,15
10,uniform,2,0.0,0.1,replicator dynamics,2.2260678228667566e-16,0.23666080793239236,1.0,0.9,0.99485369101049137,20
10,uniform,2,0.0,0.1,replicator dynamics,5.0057958142137928e-24,0.22836679121672881,1.0,0.91,0.99575940169804322,25
10,uniform,2,0.0,0.1,replicator dynamics,2.8585260092083522e-32,0.22508927992531153,1.0,0.9,0.99609806495682141,30
10,uniform,2,0.0,0.1,replicator dynamics,8.506588372354813e-41,0.22414734146355625,1.0,0.895,0.99622824996402415,35
10,uniform,2,0.0,0.1,replicator dynamics,1.8748547943999098e-49,0.22422407856113813,1.0,0.895,0.99628270297957278,40
10,uniform,2,0.0,0.1,replicator dynamics,3.5491334785807529e-58,0.22472259791127094,1.0,0.885,0.99630979335896219,45
10,uniform,2,0.0,0.1,replicator dynamics,6.1235186871888323e-67,0.22538424526052514,1.0,0.885,0.99632704267558847,50
10,uniform,2,0.0,0.1,replicator dynamics,9.862939504864472e-76,0.22610002315950189,1.0,0.885,0.99634078333319065,55
10,uniform,2,0.0,0.1,replicator dynamics,1.4981145561322617e-84,0.22682478724823935,1.0,0.885,0.99635330096632191,60
10,uniform,2,0.0,0.1,replicator dynamics,2.1604182155719868e-93,0.22753997553278443,1.0,0.885,0.99636541923918487,65
10,uniform,2,0.0,0.1,replicator dynamics,3.2906767378888544e-102,0.2282378983240996,1.0,0.87,0.99637743387994882,70
10,uniform,2,0.0,0.1,replicator dynamics,2.8926868400243891e-110,0.22891525599272691,1.0,0.865,0.9963894499955096,75
