Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,0.99723508408833317,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99724411081340669,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99725300596510047,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99726178391143749,90
10,uniform,2,0.0,0.1,replicator dynamics,0.9972704497405056,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99727900522828539,100
10,uniform,2,0.0,0.1,replicator dynamics,0.52918504084360618,0
10,uniform,2,0.0,0.1,replicator dynamics,0.93567567581893052,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97975712706323359,10
10,uniform,2,0.0,0.1,replicator dynamics,0.99401424815898087,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99644724626401104,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99690110610730343,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99707145653909379,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99713927573061167,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99717010995379007,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99718758068665925,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99720018507759212,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99721097751047727,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99722105546572393,60
10,uniform,2,0.0,0.1,replicator dynamics,0.9972308130996097,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99724039185168101,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99724984238935721,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99725918280441272,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99726841952511902,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99727755483004665,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99728658954722282,95
10,uniform,2,0.0,0.1,replicator dynamics,0.9972955240232122,100
10,uniform,2,0.0,0.1,replicator dynamics,0.56116556091961445,0
10,uniform,2,0.0,0.1,replicator dynamics,0.89690610446813679,5
10,uniform,2,0.0,0.1,replicator dynamics,0.95263186819002277,10
10,uniform,2,0.0,0.1,replicator dynamics,0.97768822728700822,15
10,uniform,2,0.0,0.1,replicator dynamics,0.98827999295247648,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99276898449475059,25
10,uniform,2,0.0,0.1,replicator dynamics,0.994503109170775,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99514838248946702,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99538515416104101,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99547163531424832,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99550322077177167,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99551480872008358,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99551912026893663,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99552078650564846,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99552149259487088,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99552185166132667,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99552208680067567,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99552227922144809,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99552245851803045,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99552263551017706,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99552281418918376,100
10,uniform,2,0.0,0.1,replicator dynamics,0.63804809695038212,0
10,uniform,2,0.0,0.1,replicator dynamics,0.95852828299216553,5
10,uniform,2,0.0,0.1,replicator dynamics,0.9810026052706351,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98941146392727364,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99272071755370095,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99396428371057466,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99442758167676681,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99461604935354175,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99674548640261029,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99690069876025289,45
10,uniform,2,0.0,0.1,replicator dynamics,0.9969565824042258,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99698391545537746,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99700094881818624,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99701423412047252,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99702612044192962,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99703744899039659,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99704852024641122,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99705944086271114,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99707024805449296,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99708095419492893,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99709156280105582,100
10,uniform,2,0.0,0.1,replicator dynamics,0.63202388945038757,0
10,uniform,2,0.0,0.1,replicator dynamics,0.92787664613516285,5
10,uniform,2,0.0,0.1,replicator dynamics,0.96366231676729253,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98209222097807136,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99038355591732874,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99363306058919476,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99483393233927186,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99526795287942127,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99542356769726636,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99547920864606088,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99549908602676995,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99646196415233257,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99660435047992812,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99661711927769137,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99662975387089614,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99664234980117306,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99665493034885633,80
10,uniform,2,0.0,0.1,replicator dynamics,0.9966699031106806,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99668254742671836,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99669514856825925,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99670773487355335,100
10,uniform,2,0.0,0.1,replicator dynamics,0.71535810062728022,0
10,uniform,2,0.0,0.1,replicator dynamics,0.93278650107990557,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97677447666148243,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98831644012763575,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99442918404650549,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99588076674587001,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99642115944079801,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99662492952715309,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99670641378402047,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99674373694700513,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99676513518088095,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99678078091402167,55
10,uniform,2,0.0,0.1,replicator dynamics,0.9967943333367012,60
10,uniform,2,0.0,0.1,replicator dynamics,0.9968071068675376,65
10,uniform,2,0.0,0.1,replicator dynamics,0.9968195723583485,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99683189728379862,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99684414005158528,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99685631988410239,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99686844194803459,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99688050639081993,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99689251159060599,100
10,uniform,2,0.0,0.1,replicator dynamics,0.64446597029760355,0
10,uniform,2,0.0,0.1,replicator dynamics,0.92867766056656542,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97355406058701144,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98587830715319857,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99103052458007002,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99305373955781695,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99382622172643009,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99412217524160817,35
10,uniform,2,0.0,0.1,replicator dynamics,0.9942398981409033,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99429142475086274,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99431843332354131,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99433637368547978,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99435096475379448,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99436432139037556,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99437722435732079,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99438996063934659,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99440263445815702,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99441528238401899,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99442791594510616,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99444053740262384,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99445314559314124,100
10,uniform,2,0.0,0.1,replicator dynamics,0.66598443384752926,0
10,uniform,2,0.0,0.1,replicator dynamics,0.95413706568307233,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97868434185939568,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98872017052633954,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99294737380077958,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99456874221809499,25
10,uniform,2,0.0,0.1,replicator dynamics,0.9951678218365515,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99538611322038506,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99575716757870392,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99593768280703132,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99595480936163339,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99596585139449267,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99597506726989404,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99598371938913155,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99599223869408426,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99600077913104068,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99600941600160897,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99601921218208112,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99602806802603205,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99603703111325248,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99604610212419098,100
10,uniform,2,0.0,0.1,replicator dynamics,0.65434444786313573,0
10,uniform,2,0.0,0.1,replicator dynamics,0.91152024795916631,5
10,uniform,2,0.0,0.1,replicator dynamics,0.9462124141360656,10
10,uniform,2,0.0,0.1,replicator dynamics,0.97078308336307328,15
10,uniform,2,0.0,0.1,replicator dynamics,0.98359619462455716,20
10,uniform,2,0.0,0.1,replicator dynamics,0.98915276408970665,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99133860635810322,30
10,uniform,2,0.0,0.1,replicator dynamics,0.992167677992976,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99248112813325939,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99260282027193125,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99265373423194858,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99267856015802414,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99269373841038655,60
10,uniform,2,0.0,0.1,replicator dynamics,0.9927053074078046,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99271548347624972,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99272507969742196,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99273439415826759,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99274353599512832,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99275254504996691,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99276143577869658,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99277021336193372,100
10,uniform,2,0.0,0.1,replicator dynamics,0.55945222070179668,0
10,uniform,2,0.0,0.1,replicator dynamics,0.85424466495949336,5
10,uniform,2,0.0,0.1,replicator dynamics,0.93713830680056487,10
10,uniform,2,0.0,0.1,replicator dynamics,0.96197635535262283,15
10,uniform,2,0.0,0.1,replicator dynamics,0.97955328043275791,20
10,uniform,2,0.0,0.1,replicator dynamics,0.98850645799471182,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99207651235631256,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99349169270749038,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99403783583595651,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99425063048756013,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99433797006670088,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99437843036141993,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99440141796750192,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99441789666262559,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99443194729332662,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99444508677734234,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99445787762495541,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99447052717246875,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99448311060214467,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99449565393502315,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99450816491488314,100
10,uniform,2,0.0,0.1,replicator dynamics,0.53181708067223532,0
10,uniform,2,0.0,0.1,replicator dynamics,0.89297079937373169,5
10,uniform,2,0.0,0.1,replicator dynamics,0.94924133215540907,10
10,uniform,2,0.0,0.1,replicator dynamics,0.97345826415430947,15
10,uniform,2,0.0,0.1,replicator dynamics,0.98477462771359392,20
10,uniform,2,0.0,0.1,replicator dynamics,0.98938801923964226,25
10,uniform,2,0.0,0.1,replicator dynamics,0.9911669203036364,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99184227751529708,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99210139639494543,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99220536625743949,45
10,uniform,2,0.0,0.1,replicator dynamics,0.9922517496659149,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99227678006137321,55
10,uniform,2,0.0,0.1,replicator dynamics,0.992293882253239,60
10,uniform,2,0.0,0.1,replicator dynamics,0.992308024811006,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99232104484919725,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99233362039752437,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99234600055347144,80
10,uniform,2,0.0,0.1,replicator dynamics,0.9923582757151046,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99237047758652686,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99238261618618029,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99239469354273102,100
10,uniform,2,0.0,0.1,replicator dynamics,0.57296372001172635,0
10,uniform,2,0.0,0.1,replicator dynamics,0.94505847371077045,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97383534170411423,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98724247944981269,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99288170608722215,20
10,uniform,2,0.0,0.1,replicator dynamics,0.9950583528760385,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99587354138388895,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99617944555210391,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99629840627347988,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99634924443345085,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99637534616227885,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99639249763477544,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99640643433204346,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99641923800559729,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99643166299170549,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99644398146749191,75
