Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker strategy file,Hearer strategy file
50,uniform,2,0.5,0.1,replicator dynamics,0.99884215298691137,0.99590237477382526,1.5514605003278187e-13,0.99999999999999989,0.75,0.989,4.0378243936135674e-07,1.899656503628939e-07,0.48046135258942596,19,results/strategies/20140813-205937-903576-speaker.csv,results/strategies/20140813-205937-903576-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99558600939679709,0.99590236278930022,4.8961158220135926e-13,0.999999999999998,0.75,0.989,5.0954765496003161e-07,2.3972450075664008e-07,0.4804614076577739,26,results/strategies/20140813-205942-412565-speaker.csv,results/strategies/20140813-205942-412565-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99875851948398386,0.99590236064144944,1.6081182349178968e-13,1.0000000000000007,0.75,0.989,5.284038323598444e-07,2.4859567825879083e-07,0.48046142034164996,25,results/strategies/20140813-205946-617900-speaker.csv,results/strategies/20140813-205946-617900-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99837054888801802,0.99590236731854798,1.8879046902635427e-13,1.0000000000000011,0.75,0.989,4.6953430552709732e-07,2.2089961563814769e-07,0.48046138803785382,20,results/strategies/20140813-205950-198022-speaker.csv,results/strategies/20140813-205950-198022-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98927463343946753,0.99590236750509742,2.2822723523563539e-12,0.99999999999999911,0.75,0.989,4.6810729517393367e-07,2.2022824987199279e-07,0.48046138094380153,21,results/strategies/20140813-205954-083022-speaker.csv,results/strategies/20140813-205954-083022-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99944265169247926,0.99590237518216251,1.1805009704582165e-13,0.99999999999999978,0.75,0.989,4.0016901133955044e-07,1.8826565839957689e-07,0.48046135098573894,20,results/strategies/20140813-205957-645256-speaker.csv,results/strategies/20140813-205957-645256-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99815820464272154,0.99590229321892454,2.053086384296979e-13,0.99999999999999944,0.75,0.989,4.6855684223541755e-07,2.4336214922476177e-07,0.48046143154616622,5,results/strategies/20140813-205959-019603-speaker.csv,results/strategies/20140813-205959-019603-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99791514835418393,0.99590237330472775,2.2540764222617019e-13,0.99999999999999944,0.75,0.989,4.1675711555258688e-07,1.9606978295372732e-07,0.48046135906849285,17,results/strategies/20140813-210002-187926-speaker.csv,results/strategies/20140813-210002-187926-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99316013189451946,0.995902356117083,9.475299477313692e-13,0.99999999999999933,0.75,0.989,5.6846509153291527e-07,2.6744309930451251e-07,0.48046143738288077,17,results/strategies/20140813-210005-406461-speaker.csv,results/strategies/20140813-210005-406461-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.97129004403500885,0.99590235264483551,3.872270497455292e-11,0.99999999999999889,0.75,0.989,5.9972747317081476e-07,2.8215095058054513e-07,0.48046143536670116,15,results/strategies/20140813-210008-417451-speaker.csv,results/strategies/20140813-210008-417451-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99999923596204998,0.99590237258829006,8.8861239891824429e-14,0.99999999999999933,0.93,0.989,4.2302877144228957e-07,1.9902038101463276e-07,0.48046136380279636,22,results/strategies/20140813-210012-415530-speaker.csv,results/strategies/20140813-210012-415530-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.9982400174410595,0.99590236445958902,1.9885642792423894e-13,0.99999999999999878,0.75,0.989,4.9474865905367998e-07,2.3276209099945826e-07,0.48046140164434686,21,results/strategies/20140813-210016-241899-speaker.csv,results/strategies/20140813-210016-241899-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99868433518469824,0.99590236260087306,1.6594312821249092e-13,1.0000000000000013,0.75,0.989,5.1112753337424107e-07,2.4046778138633721e-07,0.48046141088492034,22,results/strategies/20140813-210020-114301-speaker.csv,results/strategies/20140813-210020-114301-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.9707565301321045,0.99590236145118027,4.1405291025739519e-11,0.999999999999999,0.75,0.989,5.219910059242414e-07,2.4557864039509708e-07,0.48046139577016983,21,results/strategies/20140813-210023-825140-speaker.csv,results/strategies/20140813-210023-825140-hearer.csv
