Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Expected utility,Iterations,Speaker strategy,Hearer strategy
6,uniform,2,0.0,0.1,replicator dynamics,2.3557613033248909e-08,0.32061328105201475,0.99999999999999989,1.0,0.9166666666666666,0.9583333333333334,0.96980959679234457,25,"[[1.0, 4.770485211058551e-106], [1.0, 1.0933030772935382e-55], [4.8642907749793596e-09, 0.9999999951357091], [1.5640317578140732e-108, 1.0], [5.508831646231941e-213, 1.0], [0.0, 1.0]]","[[0.1791355499435066, 0.8208644500564933, 1.0599756267228817e-30, 2.663382815900631e-104, 7.561254032578274e-212, 0.0], [1.1808198922910373e-98, 8.79863823525532e-33, 0.03517087079973042, 0.8101156152823585, 0.09776336353849475, 0.05695015037941631]]"
6,uniform,2,0.0,0.1,replicator dynamics,0.0041888559376810353,0.42542868286099123,2.2575061031414793e-06,1.0,0.75,0.8055555555555556,0.91698609759588456,7,"[[1.0, 7.061843485613478e-28], [0.999999543325165, 4.5667483490642106e-07], [2.257503466290982e-06, 0.9999977424965337], [0.9999999985223409, 1.477659145619632e-09], [0.9975155763427274, 0.002484423657272675], [8.154322138444377e-14, 0.9999999999999185]]","[[0.5268589534673919, 0.059886975994912404, 1.7521592360694825e-08, 0.3204816695583649, 0.09277238295492002, 5.028184465802664e-10], [2.8995867102010163e-27, 9.982310126596584e-10, 0.15604122939004514, 6.497864023347557e-09, 3.0029574538848477e-09, 0.8439587601109024]]"
6,uniform,2,0.0,0.1,replicator dynamics,1.5976394404988488e-44,0.29429412144060862,3.0776066203591678e-46,1.0000000000000002,0.8333333333333334,0.8333333333333334,0.9698037054364379,68,"[[1.0, 3.0776066203591678e-46], [4.89539232154359e-126, 1.0], [9.4834876e-316, 1.0], [3.2646201768194167e-46, 1.0], [1.0, 3.5469012279028473e-130], [1.0, 0.0]]","[[0.008935227310458618, 3.056383713934436e-85, 1.9225208542587402e-302, 1.9543460246630178e-85, 0.6001875752163349, 0.3908771974732065], [5.850067458355376e-87, 0.056199636893169994, 0.9168215097455061, 0.026978853361323996, 6.499296632763108e-86, 0.0]]"
6,uniform,2,0.0,0.1,replicator dynamics,0.00018010752061870157,0.41395915499608849,1.1561391214285221e-26,1.0000000000000002,0.8333333333333334,0.7222222222222222,0.94469826307312432,9,"[[1.0, 1.1529590269521988e-26], [0.9999326724761927, 6.73275238074033e-05], [9.3028509598129e-12, 0.9999999999906971], [1.2427775716326771e-15, 0.9999999999999988], [0.999997482294789, 2.5177052109820463e-06], [1.0, 1.903928877511787e-26]]","[[0.4572063026850116, 0.0306172910131935, 3.592084028678541e-10, 2.4684375366095446e-12, 0.2803602561686676, 0.23181614977145043], [4.331174172245325e-24, 1.4437965784672304e-07, 0.09926793569705965, 0.9007319197681046, 1.5517799820227947e-10, 2.153436925206934e-30]]"
6,uniform,2,0.0,0.1,replicator dynamics,0.00023953381321740249,0.40421791163508058,8.9185775539337794e-05,0.99999999999999978,0.9166666666666666,0.7083333333333334,0.91703742710860769,6,"[[0.9999999885922133, 1.1407786704983163e-08], [0.9999960211300383, 3.978869961661818e-06], [8.918613704641901e-05, 0.9999108138629536], [0.9999999362082734, 6.37917265910048e-08], [0.9999990637845841, 9.362154158453804e-07], [4.2377768202208655e-07, 0.9999995762223179]]","[[0.0007365730203695475, 0.226770268034018, 1.4070368923743894e-05, 0.13740903276757185, 0.6350699849037059, 7.090541077449752e-08], [1.6109633737152168e-14, 3.4497316623058677e-07, 0.23521035032692317, 3.3689285678152195e-09, 4.83259832627311e-08, 0.7647892530049827]]"
6,uniform,2,0.0,0.1,replicator dynamics,7.9779333768562739e-49,0.34917725696371499,1.0,0.99999999999999989,1.0,0.9444444444444444,0.96973677851482398,49,"[[1.0, 0.0], [1.0, 0.0], [1.0, 1.1933388671313212e-230], [1.0, 2.9088954313975717e-50], [6.450170870419873e-74, 1.0], [2.1975851725878715e-252, 1.0]]","[[0.024180378617758735, 0.05989455903818697, 0.8453508362074651, 0.07057422613658916, 2.3041277211644137e-62, 7.893882116474799e-234], [0.0, 0.0, 9.156833207760179e-224, 1.0697049303872972e-60, 0.3789441070869956, 0.6210558929130043]]"
6,uniform,2,0.0,0.1,replicator dynamics,3.2664179433674041e-62,0.14906153121908675,4.3631410160730899e-65,1.0,0.9166666666666666,0.8194444444444444,0.96981345466903512,93,"[[1.0, 4.36314101607309e-65], [9.310057184846414e-164, 1.0], [0.0, 1.0], [7.184234493317717e-203, 1.0], [1.0, 8.911852803966031e-64], [1.0, 0.0]]","[[0.004392722964833765, 1.5249669481024619e-114, 0.0, 8.922511513726573e-116, 0.034687767119729554, 0.9609195099154367], [3.0433277128180935e-113, 0.03547541742282417, 0.9126305934703876, 0.05189398910678826, 3.6631723946182824e-111, 0.0]]"
6,uniform,2,0.0,0.1,replicator dynamics,7.9669085793178995e-11,0.25834120416464645,0.99999999998730005,1.0,1.0,0.8888888888888888,0.96992725646864364,64,"[[1.0, 3.513845370754361e-130], [0.9999999999873, 1.2699951767864476e-11], [1.0, 6.912546687650248e-110], [1.7936998956618237e-39, 1.0], [3.6201017314464836e-288, 1.0], [0.0, 1.0]]","[[0.2546027635694918, 4.6471145364988135e-55, 0.7453972364305081, 8.697240592371433e-77, 5.530205221387953e-298, 0.0], [3.350647529670242e-98, 1.4187232099017065e-15, 2.194432820310585e-63, 0.04608745732167819, 0.9121131873356774, 0.04179935534264313]]"
6,uniform,2,0.0,0.1,replicator dynamics,4.0381385740618568e-29,0.22329472987766402,4.8611387865061803e-48,0.99999999999999978,0.8333333333333334,0.8055555555555556,0.96994985556549751,48,"[[4.8611387865061803e-48, 1.0], [1.0, 8.28923462162372e-76], [1.0, 2.8559102843831367e-216], [1.0, 2.4633505525158266e-30], [1.3294654992971925e-89, 1.0], [9.997793577924502e-225, 1.0]]","[[3.198343527976495e-61, 0.02358014695540254, 0.9243860329387319, 0.052033820105865464, 1.0290145223885692e-59, 8.707073362906109e-227], [0.011212196307125364, 6.54115333454893e-58, 3.3820341472619135e-208, 4.7356147153426425e-59, 0.8370633315349767, 0.15172447215789786]]"
6,uniform,2,0.0,0.1,replicator dynamics,3.770440995937113e-09,0.24678317971692548,6.7071368427508779e-85,1.0,0.875,0.7361111111111112,0.94211600204665991,61,"[[3.220985633601469e-107, 1.0], [1.0, 5.2106021606195184e-45], [1.0, 2.5891981302497143e-269], [1.0, 2.4954041396824387e-64], [6.707136847517446e-85, 1.0], [0.9999999992893289, 7.106710761797671e-10]]","[[1.1732850521998225e-75, 0.06092215119561109, 0.9073369357717382, 0.030913740724360962, 2.4261432064368242e-58, 0.0008271723082896626], [0.7912412311784744, 8.652550742814809e-76, 1.0766661007154964e-267, 8.157604119766999e-74, 0.2087587688215257, 5.160005918631895e-74]]"
