Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Expected utility,Iterations,Speaker strategy,Hearer strategy
6,uniform,2,0.0,0.35,replicator dynamics,7.0066306774921577e-06,0.040603628131089232,1.0,1.0000000000000002,0.99800539990853454,40,"[[1.0, 1.612889766794058e-51], [1.0, 3.1752540813240715e-32], [0.9999999999999978, 2.193804356752451e-15], [2.068294564373757e-06, 0.9999979317054356], [1.474921583645553e-25, 1.0], [4.193047106328072e-46, 1.0]]","[[0.0005062829712569451, 0.9849637348259497, 0.014529981740527177, 4.6226617214190427e-10, 1.4854629553741169e-24, 8.360638085728555e-43], [5.468609921572318e-47, 3.931107006040109e-26, 4.958290400732415e-13, 0.001054973467778836, 0.9887314864544559, 0.01021354007726957]]"
6,uniform,2,0.0,0.35,replicator dynamics,4.4297294922181762e-06,0.036888570547678343,0.99999999999999123,1.0,0.99809474153558109,35,"[[1.538416861834389e-36, 1.0], [1.5677956701138754e-21, 1.0], [1.2535473489031084e-06, 0.9999987464526511], [0.9999999932332767, 6.766723166923228e-09], [1.0, 2.0585754066294637e-25], [1.0, 9.116810385304985e-39]]","[[3.837143083675639e-36, 2.9770701342920843e-20, 2.8264691825442394e-09, 0.0207080011963029, 0.9786021001156728, 0.0006898958615551099], [0.0003394216864261163, 0.9962706750003488, 0.003389901830468213, 1.4827569017349108e-09, 1.537426578984181e-21, 2.1540926443024857e-37]]"
6,uniform,2,0.0,0.35,replicator dynamics,0.075460625100119541,0.16551287693466377,0.99999986945107688,0.99999999999999989,0.92332366142699507,24,"[[0.9999999999992407, 7.592218459487844e-13], [0.9999999999845216, 1.5478354827816234e-11], [0.9999999101651154, 8.983488462441452e-08], [0.9050592188843084, 0.09494078111569162], [5.184917202599022e-07, 0.9999994815082798], [7.861450196628532e-13, 0.9999999999992139]]","[[4.958487674965565e-06, 0.08950223198532536, 0.9060829197498519, 0.004409821039250348, 6.873789476300148e-08, 2.5791267685147464e-15], [2.184919075733943e-19, 1.297811797041119e-13, 4.07068977286442e-08, 0.004102851763873148, 0.9320627902004051, 0.06383431732869428]]"
6,uniform,2,0.0,0.35,replicator dynamics,0.0017469316625099373,0.31928386393897862,0.99999999999988609,1.0,0.921920023075808,26,"[[7.53455953629809e-40, 1.0], [3.149763033496133e-26, 1.0], [1.1933550272550027e-14, 0.999999999999988], [0.0009076888018804813, 0.9990923111981196], [0.9999999998874974, 1.125026248538577e-10], [1.0, 8.056728424663861e-22]]","[[5.829637671805783e-42, 1.122646658876185e-25, 1.0846604619239272e-13, 1.3396293474469092e-05, 0.2516213086182399, 0.7483652950881772], [0.0033673473274735445, 0.7921701982764945, 0.19024986810029754, 0.014212569627098192, 1.666863637458977e-08, 2.749712638417461e-18]]"
6,uniform,2,0.0,0.35,replicator dynamics,4.5999933069120162e-05,0.037185232005543939,0.99999999999998135,1.0,0.9981417277608734,26,"[[1.0, 4.661155560409124e-34], [1.0, 1.0042987376664448e-19], [0.9999841270671134, 1.5872932886623097e-05], [1.1790291113205626e-09, 0.9999999988209709], [4.740433456226239e-24, 1.0], [6.356502975819062e-36, 1.0]]","[[0.018683236700606645, 0.9811153375222516, 0.00020142525081830886, 5.263234814469363e-10, 1.1651291771504846e-18, 2.3190290937027545e-32], [5.569964029640498e-28, 6.481755565807104e-15, 4.69421091872092e-07, 0.002338602685160285, 0.9943925106329796, 0.0032684172607615994]]"
6,uniform,2,0.0,0.35,replicator dynamics,0.0040041116483537607,0.26946738910667772,0.99999998311482796,1.0,0.92264679931543869,15,"[[1.422253242748125e-13, 0.9999999999998577], [1.593875736083687e-06, 0.9999984061242639], [0.9976405895291306, 0.0023594104708693467], [0.9999999868445923, 1.31554076315474e-08], [0.999999999999946, 5.400613578792635e-14], [1.0, 1.592239219313898e-18]]","[[2.92297023527015e-13, 1.7440594181977564e-08, 0.0008468514064624393, 0.8169714927667882, 0.17773781651944426, 0.00444382186641873], [0.8418353716588212, 0.15176862086120607, 0.006395947512783496, 5.996717891121832e-08, 1.0374569431161453e-14, 1.576233796308971e-23]]"
6,uniform,2,0.0,0.35,replicator dynamics,0.011382462221035112,0.33795373476938723,0.9999999543685576,1.0,0.92195258701822924,17,"[[5.435037434242909e-13, 0.9999999999994564], [5.3202372200690444e-06, 0.9999946797627799], [0.9918599342733749, 0.008140065726625121], [0.9999999976571119, 2.3428880074009795e-09], [0.9999999999999987, 1.3519243032535125e-15], [1.0, 7.438208309404361e-21]]","[[2.1118550199535575e-12, 1.8077799325564845e-06, 0.009522894633692583, 0.8148597348795953, 0.17083696964541967, 0.004778593059248182], [0.6168263835876806, 0.3821853172815003, 0.0009882808764727668, 1.825434617676022e-08, 9.204866849124109e-17, 1.5703883482640197e-26]]"
6,uniform,2,0.0,0.35,replicator dynamics,1.8602373076226077e-06,0.042976989473242834,0.99999999999999978,0.99999999999999978,0.99802677362962711,27,"[[1.0, 2.1983883425421238e-34], [1.0, 4.527454808472753e-21], [0.9999995021122178, 4.978877822514811e-07], [5.760134624318538e-10, 0.9999999994239865], [2.70455489841416e-22, 1.0], [1.8388691020989774e-34, 1.0]]","[[0.0076834721517257615, 0.9849945016449867, 0.007322023016223185, 3.187064344633851e-09, 1.0655260275813778e-20, 9.322678026340144e-32], [2.638568070258301e-31, 3.2485181681796824e-18, 1.1785665688659234e-08, 0.009113627285959524, 0.9889811235988057, 0.0019052373295689558]]"
6,uniform,2,0.0,0.35,replicator dynamics,0.0030605007338352819,0.23531817534416127,0.99999999999915823,0.99999999999999989,0.92232424875154351,24,"[[4.586174756754021e-21, 1.0], [4.364348464144184e-10, 0.9999999995635652], [0.9982703797411654, 0.0017296202588346662], [0.999999999999913, 8.699942279183724e-14], [1.0, 1.1342923534176677e-23], [1.0, 4.546276775256401e-34]]","[[1.6803101946691884e-16, 6.5252024116670224e-09, 0.014250739035815975, 0.07886143035758214, 0.9066518766288809, 0.00023594745251847275], [0.8065472612222203, 0.1934144914402613, 3.824732423404335e-05, 1.3284333512306076e-11, 2.81379452126532e-21, 2.9116831301164853e-35]]"
6,uniform,2,0.0,0.35,replicator dynamics,8.779158455914585e-06,0.034479878195871304,0.99999999999999989,1.0,0.99806200037311765,47,"[[5.892715552169355e-59, 1.0], [9.40263779848255e-36, 1.0], [4.25405022526936e-13, 0.9999999999995746], [0.9999973630055355, 2.6369944643852083e-06], [1.0, 1.6318440328414473e-28], [1.0, 1.6179825908638882e-47]]","[[4.764483533925951e-54, 4.385381980303145e-31, 5.067862575362092e-15, 1.5802788564913097e-05, 0.9996851331118773, 0.0002990640995527072], [0.0006029948443033653, 0.9747571448940606, 0.02463986011681604, 1.4481991194798445e-10, 7.610025232981582e-24, 1.3016047696426493e-43]]"
