number.of.states,birth.rate,iteration,receiver.entropy,sender.proportion,sender.converged,receiver.eu,sender.eu,sender.convexity,meta.step,receiver.proportion,receiver.converged,sender.entropy,impairment
10,0.05,0,0.91437554569973745,1.0,False,1.4378640694288896,1.4378640694288896,0.0034820508334082725,1,1.0,False,0.66825904453359286,0.05
10,0.05,1,0.91402900263470443,1.0,False,1.7255537034418413,1.7255537034418413,0.0031469541059706702,1,1.0,False,0.74678372598300824,0.05
10,0.05,2,0.8726468966450539,1.0,False,1.9236038786143486,1.9236038786143486,0.0027326304845816047,1,1.0,False,0.71917204080971164,0.05
10,0.05,3,0.83026834758056811,1.0,False,2.1382669743825113,2.1382669743825113,0.00081850270956728278,1,1.0,False,0.57400034898729024,0.05
10,0.05,4,0.77722551557461017,1.0,False,2.3391582484160143,2.3391582484160143,0.0005239619866448989,1,1.0,False,0.48196336113495264,0.05
10,0.05,5,0.73735834066107475,1.0,False,2.4742356627113522,2.4742356627113522,0.00020853093918672547,1,1.0,False,0.37572979948205643,0.05
10,0.05,6,0.71083900146806556,1.0,False,2.5515947858679233,2.5515947858679233,0.00011962712368032725,1,1.0,False,0.33709665362381158,0.05
10,0.05,7,0.70694405135351557,1.0,False,2.5953456527439362,2.5953456527439362,5.0784098289210525e-05,1,1.0,False,0.25646265701846149,0.05
10,0.05,8,0.69624756939905996,1.0,False,2.6270782857608888,2.6270782857608888,0.00015672007925178916,1,1.0,False,0.22998778142118484,0.05
10,0.05,9,0.6901519569797897,1.0,False,2.6465298730958615,2.6465298730958615,6.2484043864662235e-05,1,1.0,False,0.27164095201007898,0.05
10,0.05,10,0.66980115468628809,1.0,False,2.660147811817517,2.660147811817517,0.00038660085681648855,1,1.0,False,0.30228885355445123,0.05
10,0.05,11,0.67285031399223105,1.0,False,2.6781850479574412,2.6781850479574412,0.00054802169480810525,1,1.0,False,0.32935369955276528,0.05
10,0.05,12,0.66302436700574174,1.0,False,2.6910164556672611,2.6910164556672611,0.0011440701942237214,1,1.0,False,0.31632030315758647,0.05
10,0.05,13,0.64905480588935549,1.0,False,2.7125183014448706,2.7125183014448706,0.00052454579091461165,1,1.0,False,0.26123516755260334,0.05
10,0.05,14,0.6462256682516675,1.0,False,2.7329670210673043,2.7329670210673043,0.00073933569064140814,1,1.0,False,0.2637088084633406,0.05
10,0.05,15,0.63399863853825156,1.0,False,2.7458479930801762,2.7458479930801762,0.0016092514647705065,1,1.0,False,0.22069571888073711,0.05
10,0.05,16,0.63493378919255383,1.0,False,2.7534870577962387,2.7534870577962387,0.0012063195846326114,1,1.0,False,0.23370136436316599,0.05
10,0.05,17,0.63713371645462546,1.0,False,2.7539059919534625,2.7539059919534625,0.00018085699840183906,1,1.0,False,0.22225373941846202,0.05
10,0.05,18,0.62310439233038473,1.0,False,2.7594540953270386,2.7594540953270386,0.00062400419236535189,1,1.0,False,0.22758354244476747,0.05
10,0.05,19,0.61209518740353752,1.0,False,2.7673436721002687,2.7673436721002687,0.00036393803810336569,1,1.0,False,0.25505136399407552,0.05
10,0.05,20,0.62406193845110891,1.0,False,2.7734587749841371,2.7734587749841371,0.00104757950616909,1,1.0,False,0.26046982581021855,0.05
10,0.05,21,0.62037553475518992,1.0,False,2.7710901916145185,2.7710901916145185,0.00033761622515722229,1,1.0,False,0.23246976183111304,0.05
10,0.05,22,0.63003928254731156,1.0,False,2.7761358010455885,2.7761358010455885,0.00012074875380997886,1,1.0,False,0.21232865734995879,0.05
10,0.05,23,0.62212550904722497,1.0,False,2.7870442253502996,2.7870442253502996,0.00041777437091943426,1,1.0,False,0.24229815578878589,0.05
10,0.05,24,0.59892304144742714,1.0,False,2.7893939276371031,2.7893939276371031,0.00012542177993059799,1,1.0,False,0.25609947108421904,0.05
10,0.05,25,0.60222860892830965,1.0,False,2.8078029318131463,2.8078029318131463,0.00013907714031372118,1,1.0,False,0.29139232494505046,0.05
10,0.05,26,0.60182809083550515,1.0,False,2.820617452196355,2.820617452196355,0.00018941682775589823,1,1.0,False,0.2828560536815985,0.05
10,0.05,27,0.58911732086218915,1.0,False,2.8369174082935511,2.8369174082935511,3.3323447035995955e-05,1,1.0,False,0.22087132795000969,0.05
10,0.05,28,0.57323178123017771,1.0,False,2.8681222301231002,2.8681222301231002,0.00012264218149960599,1,1.0,False,0.22755653753180125,0.05
10,0.05,29,0.57942996466789654,1.0,False,2.8883939249672044,2.8883939249672044,1.4543241741883458e-05,1,1.0,False,0.16924210814785376,0.05
10,0.05,30,0.56085266108908693,1.0,False,2.907332270538765,2.907332270538765,4.5678034991110567e-05,1,1.0,False,0.19183356882738517,0.05
10,0.05,31,0.56745421709883859,1.0,False,2.9177811187579246,2.9177811187579246,4.6354491431582979e-05,1,1.0,False,0.20689705281276688,0.05
10,0.05,32,0.53738144624980799,1.0,False,2.9250784786679427,2.9250784786679427,1.6645002517560373e-05,1,1.0,False,0.20308577435547115,0.05
10,0.05,33,0.53215032180003463,1.0,False,2.9448316675947281,2.9448316675947281,5.116557727541895e-05,1,1.0,False,0.20575493792590471,0.05
10,0.05,34,0.52373123005328814,1.0,False,2.9532190267678655,2.9532190267678655,1.5050643945780262e-05,1,1.0,False,0.16641580941610798,0.05
10,0.05,35,0.51796399836287721,1.0,False,2.9619976241385428,2.9619976241385428,6.8750433323101458e-05,1,1.0,False,0.20199584463112444,0.05
10,0.05,36,0.51079417482128842,1.0,False,2.9663006226744333,2.9663006226744333,3.3578470021394672e-05,1,1.0,False,0.18332120036417351,0.05
10,0.05,37,0.50472385908543582,1.0,False,2.9741461147071715,2.9741461147071715,4.0856981831210907e-05,1,1.0,False,0.16516519263020865,0.05
10,0.05,38,0.50006045401175214,1.0,False,2.979874629130745,2.979874629130745,1.319320723567265e-05,1,1.0,False,0.17531394148658175,0.05
10,0.05,39,0.47489098279004444,1.0,False,2.9875440363004033,2.9875440363004033,1.0078394991145039e-05,1,1.0,False,0.17724892089588648,0.05
10,0.05,40,0.48648637433129222,1.0,False,2.993917414644133,2.993917414644133,3.9169928973543053e-05,1,1.0,False,0.22994195725877761,0.05
10,0.05,41,0.4724332811976758,1.0,False,2.9939847785331088,2.9939847785331088,4.7525577214530882e-05,1,1.0,False,0.21577583934389727,0.05
10,0.05,42,0.47090705887511919,1.0,False,2.9978766688487188,2.9978766688487188,3.0728672515030516e-05,1,1.0,False,0.20021271545030353,0.05
10,0.05,43,0.4423390281589788,1.0,False,3.0025860305204217,3.0025860305204217,6.7127613879301846e-06,1,1.0,False,0.20536275534734857,0.05
10,0.05,44,0.45092298315821855,1.0,False,3.011400116920298,3.011400116920298,2.2445527076788495e-05,1,1.0,False,0.21362738740496148,0.05
10,0.05,45,0.45394421566589915,1.0,False,3.0110539294855023,3.0110539294855023,9.4094686793112599e-06,1,1.0,False,0.21902776140556499,0.05
10,0.05,46,0.4326594353073232,1.0,False,3.0106603448391276,3.0106603448391276,6.186717608414177e-05,1,1.0,False,0.27199614828248309,0.05
10,0.05,47,0.4463314487126907,1.0,False,3.0159218439115913,3.0159218439115913,2.444833649647072e-05,1,1.0,False,0.24719940702284038,0.05
10,0.05,48,0.43531083706596174,1.0,False,3.0157379874639925,3.0157379874639925,4.3448127728834875e-05,1,1.0,False,0.24852124568467068,0.05
10,0.05,49,0.43263059948480015,1.0,False,3.0212950331263002,3.0212950331263002,2.4954101609126666e-05,1,1.0,False,0.2496214140509331,0.05
10,0.05,50,0.42137818056366672,1.0,False,3.021571985192347,3.021571985192347,5.002203033675484e-05,1,1.0,False,0.26197392593475821,0.05
10,0.05,51,0.42749312521718014,1.0,False,3.0272522072901573,3.0272522072901573,2.8639585964819504e-05,1,1.0,False,0.2699204822566324,0.05
10,0.05,52,0.42846664378245086,1.0,False,3.0262126778086085,3.0262126778086085,2.4317282423961866e-05,1,1.0,False,0.27784440729633197,0.05
10,0.05,53,0.40958305850928817,1.0,False,3.0290084876789791,3.0290084876789791,6.2683550268158604e-05,1,1.0,False,0.31290334934003072,0.05
10,0.05,54,0.40949621134436504,1.0,False,3.0364261482520871,3.0364261482520871,7.4063646169275949e-05,1,1.0,False,0.31105465738982724,0.05
10,0.05,55,0.40898027064648135,1.0,False,3.0379279081365005,3.0379279081365005,0.00015666557374682414,1,1.0,False,0.32585301024665081,0.05
10,0.05,56,0.41078454370263034,1.0,False,3.0424154068911018,3.0424154068911018,9.4037975594697294e-05,1,1.0,False,0.31387994272363567,0.05
10,0.05,57,0.41600845920988344,1.0,False,3.0508697672298886,3.0508697672298886,4.7935381367977773e-05,1,1.0,False,0.3042718032926639,0.05
10,0.05,58,0.40514264789311094,1.0,False,3.0636911435608845,3.0636911435608845,0.00047034850228400599,1,1.0,False,0.32630645388054197,0.05
10,0.05,59,0.41256605268662006,1.0,False,3.0781513304808827,3.0781513304808827,0.00057384164200505433,1,1.0,False,0.26714772643819651,0.05
